[B9S2] : dis=1  1609939288744ms
[B9S2] : dis=7  1609939291610ms
[B9S2] : dis=32  1609939291751ms
[B9S2] : dis=31  1609939292477ms
[B9S2] : dis=32  1609939292534ms
[B9S2] : dis=31  1609939292657ms
[B9S2] : dis=32  1609939292735ms
[B9S2] : dis=31  1609939293187ms
[B9S2] : dis=32  1609939293244ms
[B9S2] : dis=31  1609939293798ms
[B9S2] : dis=32  1609939293861ms
[B9S2] : dis=31  1609939294141ms
[B9S2] : dis=32  1609939294269ms
[B9S2] : dis=31  1609939294607ms
[B9S2] : dis=32  1609939294675ms
[B9S2] : dis=31  1609939296280ms
[B9S2] : dis=32  1609939296402ms
[B9S2] : dis=31  1609939297015ms
[B9S2] : dis=32  1609939297076ms
[B9S2] : dis=31  1609939297673ms
[B9S2] : dis=32  1609939297733ms
[B9S2] : dis=31  1609939298132ms
[B9S2] : dis=32  1609939298191ms
[B9S2] : dis=31  1609939298861ms
[B9S2] : dis=32  1609939298917ms
[B9S2] : dis=31  1609939300172ms
[B9S2] : dis=32  1609939300230ms
[B9S2] : dis=32  1609939303240ms
[B9S2] : dis=31  1609939303297ms
[B9S2] : dis=32  1609939303353ms
[B9S2] : dis=31  1609939304196ms
[B9S2] : dis=32  1609939304264ms
[B9S2] : dis=31  1609939304432ms
[B9S2] : dis=32  1609939304493ms
[B9S2] : dis=31  1609939305121ms
[B9S2] : dis=32  1609939305177ms
[B9S2] : dis=31  1609939305852ms
[B9S2] : dis=32  1609939305911ms
[B9S2] : dis=31  1609939306264ms
[B9S2] : dis=32  1609939306432ms
[B9S2] : dis=31  1609939306857ms
[B9S2] : dis=32  1609939306914ms
[B9S2] : dis=31  1609939307491ms
[B9S2] : dis=32  1609939307550ms
[B9S2] : dis=31  1609939307962ms
[B9S2] : dis=32  1609939308018ms
[B9S2] : dis=31  1609939308406ms
[B9S2] : dis=32  1609939308465ms
[B9S2] : dis=31  1609939308690ms
[B9S2] : dis=32  1609939308745ms
[B9S2] : dis=31  1609939309492ms
